time,deltaX,deltaY
37.770893,-49,60
37.781447,-68,31
37.791936,16,-74
37.808273,38,-145
37.818279,0,-1
37.828766,-3,25
37.839269,0,52
37.855631,68,-47
37.865658,86,23
37.876162,48,0
37.886676,-3,-65
37.903642,-5,-63
37.913643,-44,-12
37.924115,-15,3
37.934569,-20,37
37.951523,43,86
37.961537,-4,25
37.972049,16,0
37.991193,1,-2
38.001719,27,46
38.016234,35,48
38.026290,-25,-29
38.036801,-3,-56
38.047304,-10,-21
38.062447,11,18
38.072487,-7,9
38.082496,-19,2
38.093014,9,-1
38.109338,25,29
38.119340,43,-20
38.129818,-38,-43
38.140295,-1,4
38.156020,66,14
38.166071,4,32
38.176584,10,24
38.187119,50,77
38.202234,34,-5
38.212263,-14,10
38.222762,62,-25
38.241885,102,64
38.252419,20,4
38.268212,66,79
38.278305,36,73
38.288820,26,14
38.299329,35,-8
38.315053,11,-4
38.325059,7,-33
38.335566,0,7
38.346059,23,5
38.361188,-29,-10
38.371248,-15,-1
38.381754,25,-23
38.392303,29,14
38.407390,-59,19
38.417400,3,-4
38.427865,25,-39
38.438357,-2,-14
38.453456,-40,-31
38.463474,2,-25
38.473948,-16,49
38.493088,77,76
38.503630,48,14
38.518148,35,9
38.528216,-48,-15
38.538734,-8,-36
38.549242,33,34
38.563713,48,33
38.573765,-45,-5
38.584263,-40,2
38.594816,-17,-17
38.609882,-33,40
38.619882,30,61
38.630387,-2,34
38.640884,0,3
38.655995,6,-13
38.666044,5,-31
38.676539,-14,-6
38.687040,70,41
38.702104,123,-20
38.712148,113,0
38.722633,101,-35
38.743120,7,2
38.765818,-20,-50
38.775916,3,-20
38.786423,28,-34
38.796932,93,-50
38.812126,32,5
38.822146,40,53
38.832644,-6,37
38.843168,9,-4
38.858295,20,35
38.868460,-8,6
38.878972,0,-14
38.889486,-5,-15
38.904595,-45,-10
38.914597,39,-1
38.925089,52,-30
38.935592,0,-1
38.950700,2,15
38.960704,-8,15
38.971211,-16,0
38.993523,-17,4
39.014291,5,-7
39.024332,-43,60
39.034823,-51,-12
39.045316,28,0
39.061806,15,44
39.071820,18,-14
39.082320,-65,-14
39.092812,15,-33
39.107207,50,-32
39.117213,-1,-28
39.127711,-3,-31
39.138217,49,12
39.153903,1,97
39.163942,23,-3
39.174437,43,5
39.184952,82,21
39.199975,56,63
39.210067,-28,2
39.220562,-20,-15
39.243510,-66,-16
39.264279,93,72
39.274341,28,-25
39.284835,14,-39
39.295341,2,3
39.310366,-17,12
39.320424,-22,31
39.330917,33,-27
39.341399,-8,-68
39.357061,-34,-6
39.367063,17,-70
39.377531,-17,-15
39.387993,-47,-49
39.403619,-36,-117
39.413619,-32,-87
39.427604,2,18
39.438128,49,71
39.448607,0,27
39.463704,2,-97
39.473749,-47,-33
39.493528,-32,-97
39.504072,4,-6
39.514584,-13,46
39.528884,58,-67
39.538906,15,-52
39.549403,30,-54
39.559894,-17,3
39.575566,-15,57
39.585597,-3,-28
39.596099,74,-36
39.606611,31,-6
39.621634,93,88
39.631636,25,-24
39.642111,4,-7
39.652585,-46,-6
39.668260,0,-11
39.678278,25,-11
39.688771,7,-27
39.699244,-2,7
39.714860,-26,56
39.724861,10,18
39.743953,67,88
39.754477,-25,-26
39.764977,-15,46
39.780103,26,20
39.790197,18,-59
39.800679,11,0
39.811162,-2,34
39.827434,28,-3
39.837441,3,9
39.847932,-26,20
39.858435,-26,10
39.873500,0,29
39.883549,-8,9
39.894035,-68,60
39.904542,-27,30
39.920199,-41,57
39.930245,17,-23
39.940727,8,-37
39.951236,-29,0
39.966299,-49,-20
39.976352,-28,-44
39.995467,-53,148
40.005994,25,78
40.016508,17,-30
40.031589,67,-22
40.041649,12,-10
40.052161,23,-16
40.062676,-50,11
40.077723,5,0
40.087790,7,9
40.098293,21,14
40.108797,8,34
40.123829,3,-61
40.133979,-20,-61
40.144474,-9,-35
40.154964,-25,25
40.170628,-29,-38
40.180651,9,-11
40.191156,42,-77
40.201647,63,-71
40.216662,89,84
40.226667,-44,28
40.245838,-76,36
40.256384,-100,40
40.266892,-97,-6
40.281391,-5,8
40.291493,20,15
40.302003,-37,43
40.312514,-65,38
40.328546,17,62
40.338585,-19,-5
40.349096,6,9
40.359595,-7,29
40.374716,5,-39
40.384778,51,-6
40.395294,85,53
40.405775,17,23
40.420881,-16,1
40.430881,12,-38
40.441376,26,1
40.451864,24,14
40.518193,3,-47
40.528306,7,30
40.538796,25,48
40.549290,-25,28
40.565030,-94,-64
40.575030,-6,-19
40.585528,-69,36
40.596031,-106,12
40.618236,-80,9
40.628247,96,-39
40.638747,32,-25
40.648747,3,26
40.666394,52,7
40.676396,30,38
40.686887,-7,19
40.697376,-14,19
40.713712,-135,77
40.723771,6,-6
40.747368,-41,69
40.757370,50,30
40.778123,28,-12
40.788153,20,-13
40.798649,-58,-64
40.809170,-9,6
40.824914,-12,12
40.834968,4,-15
40.845479,20,-8
40.855548,-12,-17
40.872504,86,10
40.882504,24,24
40.892962,9,-1
40.903449,57,-59
40.919798,3,-86
40.929841,-26,-16
40.940356,3,67
40.950857,0,57
40.966563,-37,-15
40.976563,63,4
40.997605,0,16
41.008120,-18,-8
41.030778,-59,-14
41.040829,4,-33
41.051328,61,7
41.061875,60,24
41.077577,10,75
41.087578,16,37
41.098088,-6,1
41.108582,22,39
41.124935,26,-59
41.134961,-9,-59
41.145439,-27,-61
41.155976,31,9
41.171051,-24,69
41.181051,-35,-21
41.191560,-40,25
41.202063,-104,71
41.218430,-156,40
41.228483,39,-10
41.247593,24,0
41.258156,67,-40
41.268651,7,-63
41.283783,-46,-39
41.293824,-125,-56
41.304330,-136,-53
41.314843,5,-36
41.329956,34,-2
41.340014,-29,19
41.350526,11,0
41.361082,64,8
41.376822,52,51
41.386824,102,49
41.397321,14,-17
41.407818,61,-33
41.423561,-15,-62
41.433590,-17,-55
41.444097,-8,-28
41.454575,52,-10
41.470307,-26,23
41.497704,14,73
41.508237,12,17
41.518729,-15,-30
41.535193,31,-41
41.545291,64,29
41.555782,22,2
41.565783,-17,7
41.580879,4,9
41.590881,27,27
41.601393,7,-4
41.611887,-12,54
41.627664,-35,-62
41.637712,-20,-36
41.648215,-8,-32
41.658704,-21,10
41.674400,-46,-1
41.684400,24,-2
41.694891,60,30
41.705391,30,49
41.721777,12,-54
41.748012,-15,-52
41.758547,-32,-73
41.769175,-3,-67
41.786200,10,39
41.796259,32,69
41.806752,5,7
41.817240,4,-28
41.832954,-2,-13
41.842960,-1,-5
41.853455,49,9
41.863937,42,12
41.879628,23,53
41.889628,16,-27
41.900125,-34,-30
41.910615,-44,-29
41.926340,-58,-140
41.936371,-24,-21
41.946866,5,69
41.957370,15,44
41.973066,49,5
41.998024,-5,-24
42.008549,-27,-10
42.019044,44,-48
42.038028,-10,-50
42.048087,44,-30
42.058573,36,13
42.069083,-22,-14
42.084780,-14,20
42.094780,-19,39
42.105285,1,17
42.115746,52,20
42.132104,-76,-5
42.142128,3,23
42.152614,19,26
42.163111,-19,53
42.179436,-15,34
42.189436,19,-30
42.199914,8,-9
42.210406,-33,15
42.226762,-28,26
42.248041,-28,-20
42.258574,-8,14
42.269127,-46,-5
42.291150,19,-66
42.301189,26,-37
42.311670,-19,-1
42.322166,-53,-71
42.337895,-26,-33
42.347907,-7,4
42.358360,35,7
42.368812,-19,18
42.385104,11,-15
42.395105,-18,5
42.405611,-23,-11
42.416119,-3,-37
42.431886,-15,-62
42.441943,-16,-4
42.452451,32,-23
42.462943,0,8
42.478040,28,-20
42.498089,-73,-43
42.508593,6,19
42.519073,-10,0
42.532983,-58,31
42.543520,-20,9
42.557398,33,-4
42.567454,30,-3
42.577949,-11,-49
42.587968,17,-33
42.605211,-18,-96
42.615225,10,-19
42.625718,18,-16
42.636220,-1,-34
42.652630,1,0
42.662668,-38,-16
42.673165,18,35
42.683651,93,103
42.699985,42,98
42.709987,-19,-22
42.720476,7,-6
42.748359,119,131
42.763589,-49,65
42.773692,-15,-68
42.784193,-26,-31
42.794723,2,6
42.811094,-16,-22
42.821119,1,51
42.831625,-7,33
42.842131,-7,65
42.857263,-17,-57
42.867322,7,-37
42.877825,47,-16
42.888341,44,25
42.904056,29,-38
42.914059,18,-71
42.924569,-26,-5
42.935088,-57,16
42.950216,-19,-9
42.960299,-30,29
42.970810,2,-14
42.998712,48,19
43.014520,-1,22
43.024564,1,-21
43.035075,37,-2
43.045584,57,-9
43.060720,-64,-6
43.070770,-12,36
43.081274,64,77
43.091782,73,36
43.106851,17,2
43.116878,17,-11
43.127396,21,-56
43.137902,42,-26
43.153029,1,35
43.163088,45,19
43.173583,-2,11
43.184093,12,-2
43.198542,27,-2
43.208613,6,0
43.219120,-3,6
43.229628,27,-10
43.248744,6,0
43.262712,1,-4
43.272813,5,8
43.283321,10,27
43.293831,3,-2
43.309535,-9,5
43.319562,-19,0
43.330050,-13,9
43.340557,-3,2
43.356291,-5,0
43.366367,1,-9
43.376867,27,-15
43.387388,23,-6
43.402458,-2,1
43.412499,-2,0
43.422984,0,0
43.433487,-1,2
43.449221,0,0
43.459292,2,1
43.469793,-4,0
43.480311,21,-9
43.499469,1,-4
43.513994,0,2
43.524029,-18,8
43.534511,4,0
43.544998,23,0
43.560131,-1,4
43.570188,0,-3
43.580697,-6,0
43.591202,-22,3
43.606882,-1,-2
43.616969,-1,4
43.627461,0,2
43.637955,3,0
43.653711,-1,-2
43.663780,-1,1
43.674266,-10,-3
43.684764,-1,0
43.699866,0,1
43.709886,0,0
43.719888,0,-2
43.730396,2,2
43.749576,-6,0
43.765391,0,-1
43.775420,19,-1
43.785905,17,-3
43.796404,-3,-1
43.812740,3,0
43.822818,0,0
43.833319,-15,3
43.843829,-9,2
43.858951,0,1
43.868954,-1,0
43.879457,0,0
43.889930,1,0
43.905650,0,0
43.915650,2,1
43.925650,-2,0
43.936144,-2,0
43.952535,3,0
43.962568,-1,1
43.973055,1,0
44.011855,-2,-1
44.027325,0,-2
44.037328,3,1
44.047847,-2,2
44.058355,0,-2
44.073466,1,1
44.083502,0,1
44.093993,-1,-2
44.104519,0,0
44.120959,0,1
44.131048,3,2
44.141528,0,-4
44.152031,-3,1
44.167162,20,-14
44.177224,-1,0
44.187718,1,1
44.198232,0,-2
44.213314,0,3
44.223341,2,0
44.250106,0,-1
44.260640,-2,-3
44.277069,0,0
44.287172,0,2
44.297673,0,1
44.308172,2,0
44.323867,0,1
44.333867,0,-2
44.344352,0,2
44.354834,0,-1
44.369928,0,1
44.379984,0,-2
44.390505,0,0
44.400993,-1,1
44.416100,-3,0
44.426101,2,0
44.436630,0,0
44.447115,1,-3
44.462813,0,1
44.472830,0,1
44.500079,0,-1
44.510607,1,0
44.526955,0,0
44.536955,-1,0
44.547410,-1,0
44.557863,2,0
44.573591,-1,0
44.583591,-3,1
44.594067,4,-2
44.604566,-2,0
44.619610,0,0
44.629623,-1,3
44.640177,2,-1
44.650692,1,0
44.665807,-3,0
44.675851,3,-4
44.686355,-1,2
44.696859,1,-1
44.711308,0,1
44.721317,-3,4
44.731803,3,-4
44.750950,0,-1
44.761490,0,0
44.776671,0,0
44.786763,3,-5
44.797278,7,-5
44.807784,-1,-1
44.824128,0,0
44.834130,0,0
44.844656,0,0
44.855171,0,0
44.870924,1,-1
44.880983,0,1
44.891473,0,0
44.901976,0,0
44.916431,0,0
44.926455,0,0
44.936947,0,0
44.947493,0,0
44.963264,-1,-1
44.973333,0,0
45.001251,0,0
45.011772,0,0
45.027560,0,1
45.037612,0,-1
45.047668,0,1
45.058177,0,0
45.074586,0,1
45.084632,0,0
45.095124,0,0
45.105626,0,0
45.121341,0,0
45.131360,0,0
45.141851,0,-1
45.151861,1,-1
45.168262,-1,0
45.178299,0,0
45.188793,0,0
45.199290,0,1
45.214992,0,1
45.224999,0,-1
45.251734,0,0
45.262250,0,-2
45.279910,0,1
45.289938,0,1
45.300437,0,-1
45.310932,0,0
45.327260,0,1
45.337261,0,0
45.347753,0,0
45.357753,0,0
45.374122,0,0
45.384202,0,0
45.394701,0,0
45.405213,0,0
45.420914,0,0
45.430914,0,1
45.441403,0,-1
45.451880,0,1
45.467718,0,-1
45.477722,0,0
45.501881,0,0
45.512419,1,0
45.531930,-1,0
45.541989,0,-1
45.552505,0,1
45.563077,0,1
45.578192,0,-2
45.588253,0,0
45.598747,0,2
45.609248,0,-1
45.624326,0,-1
45.634369,0,1
45.644870,0,-2
45.655376,0,2
45.671349,0,0
45.681417,0,1
45.691923,0,-2
45.702426,0,0
45.718264,0,0
45.728293,0,0
45.751847,0,0
45.762484,0,1
45.782686,0,1
45.792768,0,-2
45.803290,0,0
45.813786,0,1
45.828805,0,0
45.838827,0,0
45.849334,-1,1
45.859858,0,-1
45.875566,1,0
45.885609,0,1
45.896105,0,-1
45.922386,0,0
45.932920,0,0
45.947449,0,0
45.957475,0,0
45.968040,0,-2
45.978559,0,0
46.016675,0,0
46.026766,0,0
46.037268,0,1
46.047760,-1,0
46.208182,0,0
46.218229,0,1
46.228733,0,0
46.239247,0,-1
46.307515,0,0
46.317604,0,1
46.328100,0,-2
46.338615,0,3
46.354285,0,-2
46.364328,0,0
46.374819,0,0
46.385346,0,0
46.400369,0,2
46.410435,0,-2
46.420934,0,2
46.431426,0,-1
46.447057,1,0
46.457071,0,-1
46.467580,-2,2
46.478089,0,0
46.493863,1,-2
46.503920,0,1
46.514426,0,-2
46.524932,1,1
46.558074,-1,2
46.568167,0,-1
46.578664,0,2
46.589201,0,-2
46.604926,0,-1
46.615019,-1,4
46.625531,1,-3
46.636044,0,-1
46.651672,0,1
46.661676,0,-1
46.672184,0,0
46.682687,0,1
46.697871,0,0
46.707943,0,-1
46.718458,0,0
46.728938,0,0
46.744620,0,1
46.754621,0,-1
46.765115,0,0
46.775606,1,0
46.808771,0,0
46.818831,0,-1
46.829328,0,0
46.839858,0,1
46.855566,1,-3
46.865596,-1,0
46.876074,0,1
46.886575,0,1
46.902294,0,0
46.912341,-1,0
46.922838,1,-2
46.933360,0,-1
46.948998,0,1
46.959002,0,0
46.969500,0,1
46.979992,1,-2
46.995682,-1,1
47.005708,0,1
47.016209,0,0
47.026695,0,1
47.059510,0,-3
47.069570,0,0
47.080079,0,0
47.090596,1,0
47.106479,0,0
47.116562,-1,1
47.127055,0,-1
47.137554,0,-1
47.152604,0,1
47.162605,0,0
47.173089,0,1
47.183583,0,-1
47.198608,1,-2
47.208645,0,0
47.219164,0,0
47.229667,6,-8
47.244714,0,-1
47.254739,0,0
47.265246,0,0
47.275728,0,0
47.290773,0,0
47.310158,0,0
47.320662,0,0
47.331161,0,0
47.341660,0,0
47.356755,0,-1
47.366794,0,1
47.377297,0,1
47.387783,0,-1
47.402937,0,1
47.412975,0,0
47.423464,0,0
47.433952,0,-2
47.449642,0,2
47.459644,0,0
47.470133,0,0
47.480626,0,-1
47.496351,0,1
47.506430,0,0
47.516918,0,1
47.527419,0,0
47.560513,-1,0
47.570575,0,0
47.581054,0,0
47.591541,0,-1
47.607394,0,0
47.617456,0,0
47.627948,0,0
47.638444,0,0
47.654169,0,0
47.664170,0,0
47.674664,0,0
47.685158,0,0
47.700903,0,1
47.710957,0,0
47.721460,0,0
47.731944,0,0
47.747644,0,0
47.757644,0,0
47.768115,0,0
47.778604,0,0
47.812356,0,1
47.822430,0,-1
47.832934,0,0
47.843446,-1,0
47.858604,0,0
47.868621,0,0
47.879116,0,0
47.889605,0,0
47.905343,0,0
47.915398,0,0
47.925866,0,-1
47.936371,0,0
47.952653,0,0
47.962653,0,0
47.973138,0,2
47.983623,0,-1
47.999947,0,0
48.009972,0,-1
48.020494,0,0
48.030984,0,0
48.077409,0,0
48.087544,0,1
48.098031,0,0
48.108522,0,0
48.123688,0,0
48.133747,0,0
48.144231,1,0
48.154704,0,0
48.171661,0,0
48.181662,0,-1
48.192163,-1,0
48.202635,0,1
48.218469,0,0
48.228496,0,0
48.238955,-1,0
48.249432,0,0
48.265120,0,0
48.275128,0,-1
