time,deltaX,deltaY,squal,shutter
19.556052,3,-1,122,255
19.576192,1,-1,127,255
19.600769,1,-2,125,255
19.620892,0,0,125,255
19.644890,2,-2,128,255
19.665066,3,-2,124,255
19.690301,7,1,127,255
19.710404,4,5,124,255
19.741624,14,4,122,255
19.761829,8,1,118,255
19.788135,9,4,126,255
19.808202,6,3,115,255
19.832170,9,-1,121,255
19.852298,5,-2,128,255
19.876850,7,0,124,255
19.896926,3,-1,126,255
19.920300,6,-3,128,255
19.940721,6,-3,133,255
19.971369,14,-3,127,255
19.991570,7,-1,132,255
20.015627,8,0,130,255
20.035947,9,-4,122,255
20.059907,7,-3,128,255
20.080014,7,-1,122,255
20.104612,8,-1,121,255
20.129289,10,-2,116,255
20.149323,6,-2,118,255
20.172867,5,-3,114,255
20.192970,6,-1,122,255
20.229200,15,-3,119,255
20.249331,9,-3,121,255
20.274575,12,0,118,255
20.294661,9,5,115,255
20.319269,12,2,120,255
20.339393,13,0,120,255
20.364614,15,0,117,255
20.384718,10,2,118,255
20.409351,13,0,124,255
20.429512,12,-2,122,255
20.455728,15,0,122,255
20.479438,16,9,121,255
20.507262,17,3,125,255
20.527423,11,-1,123,255
20.552066,12,2,109,255
20.572365,9,1,112,255
20.596410,10,-4,112,255
20.616610,11,-2,113,255
20.641229,13,2,113,255
20.661392,10,0,120,255
20.686267,12,-1,113,255
20.706653,11,1,116,255
20.737927,19,5,106,255
20.758061,12,1,109,255
20.782679,15,0,111,255
20.802794,8,0,109,255
20.827375,9,-1,111,255
20.847424,9,-4,117,255
20.871394,11,-3,115,255
20.891546,8,3,118,255
20.915015,10,0,120,255
20.935115,10,-4,122,255
20.959722,10,-2,120,255
20.979986,9,0,119,255
21.011584,18,-1,123,255
21.031749,12,-2,122,255
21.056361,15,0,119,255
21.076534,13,1,117,255
21.101960,17,-2,121,255
21.122087,11,-3,116,255
21.146701,15,-3,118,255
21.166870,10,-3,122,255
21.191475,11,0,121,255
21.211578,11,3,120,255
21.242887,15,3,128,255
21.263109,7,0,120,255
21.287709,10,1,120,255
21.307873,8,1,132,255
21.331895,12,0,123,255
21.352128,9,-2,119,255
21.375463,11,-1,128,255
21.395581,13,0,120,255
21.421114,19,4,124,255
21.441240,11,2,124,255
21.467218,16,1,114,255
21.493319,13,0,111,255
21.519270,14,-2,114,255
21.539407,9,-1,117,255
21.563384,12,-3,117,255
21.583475,8,-1,116,255
21.610782,13,1,116,255
21.630954,12,1,125,255
21.655565,14,5,122,255
21.675707,9,5,123,255
21.701013,10,0,126,255
21.721181,13,-2,116,255
21.753082,17,1,114,255
21.773266,9,1,121,255
21.798076,11,3,122,255
21.818491,9,2,119,255
21.843698,12,2,123,255
21.863848,9,3,118,255
21.889060,15,6,115,255
21.909302,9,4,117,255
21.933223,11,3,116,255
21.953298,9,1,119,255
21.977872,9,1,114,255
22.003391,12,0,110,255
22.028640,12,-2,115,255
22.048741,11,-1,121,255
22.073964,15,0,116,255
22.094080,11,2,112,255
22.118749,13,-4,120,255
22.139083,11,-2,119,255
22.164347,17,4,117,255
22.184559,14,5,108,255
22.209179,14,1,107,255
22.229474,15,0,112,255
22.260739,23,0,111,255
22.280879,11,5,113,255
22.305495,11,1,115,255
22.325681,6,-1,112,255
22.349687,3,-2,116,255
22.369864,2,0,112,255
22.394466,5,0,115,255
22.414683,7,0,120,255
22.439284,14,0,119,255
22.459481,12,2,113,255
22.484037,21,3,111,255
22.510807,20,5,112,255
22.535533,16,6,114,255
22.555925,11,2,113,255
22.581716,16,5,116,255
22.601982,13,4,115,255
22.627440,15,2,120,255
22.647911,11,-2,120,255
22.672507,12,0,114,255
22.692575,12,1,121,255
22.717170,18,4,114,255
22.737602,11,2,119,255
22.768868,17,1,123,255
22.789068,9,0,117,255
22.813150,13,0,120,255
22.833452,11,2,114,255
22.859238,15,9,113,255
22.879304,10,5,118,255
22.904505,11,8,120,255
22.924763,10,8,113,255
22.948722,7,3,116,255
22.968783,9,1,119,255
22.993373,10,3,116,255
23.018901,8,3,116,255
23.046320,11,0,114,255
23.066452,8,-1,117,255
23.091675,14,0,118,255
23.111842,11,1,120,255
23.136394,16,1,120,255
23.156690,11,-1,121,255
23.181280,9,-3,121,255
23.201365,7,0,117,255
23.225898,15,-2,124,255
23.246185,11,-7,120,255
23.277678,20,-6,117,255
23.297898,13,0,122,255
23.321890,17,-1,114,255
23.342165,12,-4,118,255
23.366765,11,-2,119,255
23.386943,11,0,122,255
23.411526,17,0,119,255
23.431623,13,-1,122,255
23.456851,12,0,122,255
23.477038,7,0,122,255
23.502899,10,5,123,255
23.527758,6,1,125,255
23.553842,2,-1,121,255
23.574060,2,-2,127,255
23.597385,6,-3,128,255
23.617768,7,-2,136,255
23.643063,14,1,127,255
23.663244,14,3,126,255
23.687787,21,1,128,255
23.707844,16,2,120,255
23.732569,16,3,119,255
23.752666,9,3,124,255
23.783925,14,0,116,255
23.803999,11,0,120,255
23.828688,7,1,121,255
23.848866,9,1,124,255
23.875378,11,0,122,255
23.895506,10,0,119,255
23.920761,14,4,131,255
23.941194,13,1,128,255
23.965287,21,0,119,255
23.985392,13,3,117,255
24.009981,19,8,118,255
24.034344,11,4,121,255
24.060844,10,0,121,255
24.080978,7,0,115,255
24.105596,5,2,124,255
24.125760,6,3,119,255
24.150364,7,0,124,255
24.170492,4,0,116,255
24.194482,11,0,112,255
24.214634,9,2,123,255
24.234907,12,1,117,255
24.255305,13,1,115,255
24.275305,12,2,116,255
24.305846,16,1,122,255
24.325928,11,1,120,255
24.351111,13,1,122,255
24.371161,7,1,119,255
24.395118,9,-1,121,255
24.415298,5,-3,124,255
24.439246,8,0,119,255
24.459373,6,1,122,255
24.483368,7,0,126,255
24.503658,7,-1,117,255
24.537237,14,-1,120,255
24.557445,11,1,115,255
24.582734,15,6,114,255
24.602849,10,4,122,255
24.626764,9,3,122,255
24.646865,4,2,115,255
