time,deltaX,deltaY
42.681607,25,21
42.735783,26,18
42.774161,18,5
42.803795,13,0
42.842112,17,-2
42.880421,21,-3
42.910072,13,0
42.948369,18,-3
42.986655,16,-1
43.016307,19,1
43.054626,14,3
43.092929,19,4
43.122571,16,1
43.176839,26,-1
43.215203,17,-6
43.244886,18,-1
43.283202,22,0
43.321499,25,8
43.351177,15,5
43.389457,23,2
43.427737,25,0
43.457392,15,0
43.495676,26,2
43.533972,26,2
43.563615,17,1
43.601911,25,2
43.640216,25,7
43.671869,19,6
43.724395,29,7
43.762668,20,2
43.792291,13,2
43.830598,20,4
43.868904,19,3
43.898580,14,0
43.936871,19,-1
43.975181,24,-1
44.016405,23,0
44.054795,27,4
44.093108,25,10
44.122794,18,4
44.161082,27,4
44.199401,28,5
44.229072,16,7
44.267394,28,8
44.305692,23,7
44.335365,18,0
44.373659,26,-1
44.411981,28,-5
44.441650,19,-3
44.479968,27,-1
44.518261,24,1
44.547906,18,1
44.586237,25,4
44.624534,25,4
44.651853,17,0
44.704403,36,3
44.742684,25,3
44.772326,14,4
44.810648,24,5
44.848959,25,6
44.878610,16,4
44.916938,27,7
44.955230,26,8
44.984894,18,7
45.023224,25,4
45.061511,26,-3
45.091192,21,-9
45.129520,26,-9
45.167835,29,-13
45.197514,25,-3
45.235874,30,5
45.274206,27,13
45.315916,35,21
45.354329,23,18
45.392640,29,20
45.422326,21,10
45.472863,29,7
45.511219,24,1
45.540870,23,1
45.579218,17,-5
45.617515,25,-4
45.647177,20,-3
45.685487,27,0
45.723777,20,0
45.753429,20,4
45.791760,24,4
45.830052,18,0
45.859708,19,-1
45.898054,24,-2
45.936330,19,0
45.966000,17,0
46.004307,25,-2
46.042622,27,-3
46.072284,17,-4
46.110634,29,-5
46.148942,28,-4
46.177929,21,-3
46.230468,38,-1
46.268792,30,1
46.298457,15,3
46.336782,26,9
46.375094,24,5
46.404781,16,0
46.443106,21,-6
46.481438,25,-8
46.511126,16,-4
46.549477,27,-1
46.587812,25,1
46.631223,31,5
46.669645,20,4
46.707963,27,5
46.737639,21,6
46.775989,25,7
46.814267,21,4
46.843930,23,2
46.896181,29,0
46.934521,24,0
46.964184,15,0
47.002495,22,3
47.040796,26,4
47.070464,19,4
47.108784,24,8
47.147091,32,6
47.176714,17,1
47.215063,30,-4
47.253342,28,-8
47.283014,19,-8
47.321331,28,-11
47.359632,28,-6
47.389290,18,2
47.427636,27,8
47.465923,23,9
47.495599,16,6
47.533935,23,8
47.572224,24,3
47.615956,28,-1
47.654353,25,-4
47.692680,20,-2
47.722333,22,-1
47.760681,27,1
47.798978,23,4
47.828617,19,3
47.866954,25,3
47.905243,25,4
47.950340,22,4
47.988744,23,4
48.027047,21,6
48.056726,15,5
48.095071,24,9
48.133390,25,8
48.163038,24,2
48.201360,23,-2
48.239656,29,-4
48.269336,25,-5
48.307688,25,-4
48.361682,45,-7
48.391376,19,0
48.429698,25,4
48.468008,25,5
48.497627,15,3
48.535965,23,1
48.574251,24,0
48.603896,15,0
48.642248,23,1
48.680532,23,2
48.710178,16,0
48.748492,23,-2
48.786818,23,0
48.816454,16,0
48.854778,24,0
48.893085,24,-1
48.922770,15,0
48.961093,23,3
48.999407,21,3
49.029059,17,4
49.083298,30,7
49.121647,23,8
49.151372,14,5
49.189701,23,4
49.228004,22,0
49.273791,28,-3
49.312220,20,-3
49.350521,25,-1
49.380201,18,-4
49.418548,24,-3
49.456855,18,-1
49.486492,18,1
49.524861,22,1
49.563158,16,0
49.592819,17,0
49.631156,20,1
49.669452,17,4
49.699125,12,6
49.737469,18,11
49.775781,17,12
49.805467,10,6
49.855350,19,7
49.893693,13,-3
49.923369,13,-8
49.961681,15,-13
49.999987,14,-9
50.029632,5,-3
50.067944,11,3
50.106233,12,7
50.135880,7,5
50.174193,10,10
50.212477,9,5
50.242089,7,1
50.280393,9,0
50.318658,10,-4
50.348330,7,-2
50.386646,11,-5
50.424945,12,-3
50.454587,7,-3
50.492899,10,-4
50.531215,9,0
50.572640,8,4
50.611045,5,8
50.649333,5,14
50.676872,4,9
50.729418,5,17
50.767689,3,8
50.797322,1,3
50.835637,1,0
50.873930,1,-3
50.903602,0,-3
50.941914,0,-1
50.980217,-2,6
51.009870,-2,9
51.048179,-1,22
51.086473,-4,25
51.116173,0,19
51.154462,-1,28
51.192778,-2,23
51.222430,-1,13
51.260724,1,13
51.299017,0,13
51.328664,-4,10
51.366965,0,14
51.405240,-4,16
51.434893,-3,14
51.473207,-3,14
51.511495,0,11
51.541173,0,8
51.591674,3,8
51.630037,4,9
51.659723,4,12
51.698035,5,15
51.736318,8,20
51.766006,6,16
51.804295,7,20
51.842619,7,14
51.885710,10,18
51.924079,6,16
51.962388,6,15
51.992038,3,11
52.030330,4,14
52.068630,4,12
52.098283,3,5
52.136572,2,8
52.174842,0,6
52.204469,0,6
52.242750,0,7
52.281026,0,6
52.310668,1,4
52.348965,-1,6
52.387237,-1,11
52.416897,-1,10
52.455233,-2,19
52.507304,-5,23
52.536996,-2,8
52.575285,0,9
52.613580,-2,3
52.643226,-2,6
52.681501,-3,7
52.719813,-3,9
52.749439,-5,7
52.787715,-4,3
52.826012,-5,2
52.855661,-6,0
52.893964,-4,-3
52.946234,-9,0
52.975930,-5,0
53.014222,-9,-2
53.052496,-8,-2
53.082147,-6,-1
53.120431,-9,-1
53.158710,-10,0
53.202481,-12,0
53.240866,-9,0
53.279164,-14,-2
53.308839,-10,-1
53.347140,-16,-3
53.385442,-18,-3
53.415098,-12,-3
53.453431,-18,-3
